user_id,withdrawal_status,signup_date,push_notification_consent_yn,survive_yn,pet_registration_yn,pet_species,pet_breed_detailed,pet_age_months,pet_registered_before_first_purchase_yn,days_to_first_purchase_from_signup,days_to_second_purchase_from_signup,days_to_third_purchase_from_signup,days_from_first_to_second_purchase,days_from_second_to_third_purchase,purchased_feed_yn,purchased_snacks_yn,purchased_supplies_yn,purchased_feed_count,purchased_snacks_count,purchased_supplies_count,purchased_essentials_yn,purchased_essentials_count,pb_purchase_yn,pb_purchase_count,nb_purchase_yn,nb_purchase_count,orders_within_2months_of_first_purchase,first_purchase_month,order_unit_price,first_order_coupon_name,second_order_coupon_name,third_order_coupon_name,weekday_order_count,weekend_order_count,delivery_address,sameday_delivery_orders,dawn_delivery_orders,platform_delivery_orders,first_order_delivery_time_hours,second_order_delivery_time_hours,third_order_delivery_time_hours,average_delivery_time_hours,review_written_yn,review_count
1054374,N,2022. 9. 28. 오후 7:51:02,N,N,Y,강아지,폼피츠,48.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1024482,N,2022. 8. 24. 오전 11:34:55,Y,Y,Y,강아지,포메라니안,75.0,N,0.0,6.0,14.0,6.0,8.0,Y,N,Y,3.0,,8.0,Y,3.0,Y,2.0,Y,9.0,4.0,2022. 8. 1. 오전 12:00:00,70733.333333333,"가입 축하 5,000원 할인 쿠폰♥",,"펫프와 '몽글몽글'사이만 드리는 5,OOO원 쿠폰",3.0,,그외,,,3.0,27.0,26.0,29.0,27.333333333,N,0
1030294,N,2022. 8. 31. 오후 5:10:22,N,N,Y,고양이,기타,4.0,Y,7.0,,,,,N,Y,N,,5.0,,N,,Y,1.0,Y,4.0,1.0,2022. 9. 1. 오전 12:00:00,17050.0,"가입 축하 5,000원 할인 쿠폰♥",,,1.0,,그외,,,1.0,135.0,135.0,135.0,135.0,N,0
1051430,N,2022. 9. 25. 오후 2:38:45,N,N,Y,고양이,기타,34.0,Y,0.0,,,,,N,N,Y,,,1.0,Y,1.0,N,,Y,1.0,1.0,2022. 9. 1. 오전 12:00:00,20500.0,"가입 축하 5,000원 할인 쿠폰♥",,,,1.0,그외,,,1.0,20.0,20.0,20.0,20.0,N,0
1026241,N,2022. 8. 26. 오후 5:54:58,N,N,Y,고양이,코리안 쇼트헤어,74.0,Y,0.0,,,,,N,N,Y,,,1.0,Y,1.0,N,,Y,1.0,1.0,2022. 8. 1. 오전 12:00:00,25000.0,"가입 축하 5,000원 할인 쿠폰♥",,,1.0,,그외,,,1.0,23.0,23.0,23.0,23.0,N,0
1024647,N,2022. 8. 24. 오후 3:59:41,N,N,Y,고양이,러시안 블루,81.0,N,,,,,,,,,,,,,,,,,,,,,,,,,,그외,,,,,,,,N,0
1054644,N,2022. 9. 29. 오전 1:48:20,Y,Y,Y,고양이,세상에 하나뿐인 믹스,4.0,Y,0.0,14.0,15.0,14.0,1.0,N,N,Y,,,8.0,Y,4.0,Y,5.0,Y,3.0,4.0,2022. 9. 1. 오전 12:00:00,86333.333333333,"가입 축하 5,000원 할인 쿠폰♥","펫프와 '몽글몽글'사이만 드리는 2,5OO원 쿠폰","펫프와 '몽글몽글'사이만 드리는 8,OOO원 쿠폰",3.0,,그외,,,3.0,33.0,15.0,23.0,23.666666667,Y,1
1057572,N,2022. 10. 2. 오전 8:03:50,N,N,Y,강아지,세상에 하나뿐인 믹스,140.0,Y,7.0,,,,,N,Y,N,,2.0,,N,,Y,2.0,N,,1.0,2022. 10. 1. 오전 12:00:00,16520.0,"가입 축하 5,000원 할인 쿠폰♥",,,,1.0,그외,,,1.0,47.0,47.0,47.0,47.0,N,0
1017128,N,2022. 8. 16. 오후 6:18:23,Y,Y,N,등록없음,등록없음,,N,0.0,0.0,0.0,0.0,0.0,Y,Y,N,1.0,1.0,,Y,1.0,N,,Y,2.0,5.0,2022. 8. 1. 오전 12:00:00,35606.666666667,,,,3.0,,그외,,,3.0,22.0,22.0,18.0,20.666666667,N,0
1018780,N,2022. 8. 18. 오전 9:49:59,N,N,Y,강아지,골든 리트리버,116.0,Y,0.0,0.0,64.0,0.0,64.0,N,Y,Y,,1.0,1.0,N,,Y,1.0,Y,1.0,2.0,2022. 8. 1. 오전 12:00:00,23866.666666667,"가입 축하 5,000원 할인 쿠폰♥",,,3.0,,그외,,,2.0,28.0,25.0,22.0,25.0,N,0
